"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2008","207.45","204.22","207.73","203.54","","1.48%"
"03/10/2008","204.43","206.70","206.88","204.24","","-1.27%"
"03/07/2008","207.05","206.32","208.00","204.80","","0.35%"
"03/06/2008","206.32","207.23","207.64","205.82","","-0.48%"
"03/05/2008","207.31","205.20","207.78","204.38","","1.02%"
"03/04/2008","205.21","205.12","205.74","203.64","","0.10%"
"03/03/2008","205.01","205.94","206.13","203.43","","-0.66%"
"02/29/2008","206.37","209.55","209.71","205.89","","-1.63%"
"02/28/2008","209.80","210.83","211.32","209.46","","-0.48%"
"02/27/2008","210.82","213.02","213.54","210.64","","-1.08%"
"02/26/2008","213.13","212.57","213.26","211.78","","0.23%"
"02/25/2008","212.65","211.37","212.92","210.42","","0.82%"
"02/22/2008","210.93","210.78","211.55","209.96","","0.11%"
"02/21/2008","210.69","209.95","212.01","209.64","","0.33%"
"02/20/2008","209.99","209.84","210.95","209.01","","0.04%"
"02/19/2008","209.90","211.32","211.42","208.71","","-0.65%"
"02/18/2008","211.28","211.06","211.84","210.51","","-0.04%"
"02/15/2008","211.37","212.27","213.34","210.27","","-0.50%"
"02/14/2008","212.44","212.58","213.91","211.85","","-0.11%"
"02/13/2008","212.68","210.31","212.85","209.31","","1.01%"
"02/12/2008","210.55","208.65","211.02","207.78","","0.84%"
"02/11/2008","208.79","208.75","209.53","206.73","","-0.03%"
"02/08/2008","208.85","208.75","209.93","208.04","","-0.01%"
"02/07/2008","208.87","209.16","209.43","205.82","","0.10%"
"02/06/2008","208.66","209.70","209.97","207.70","","-0.48%"
"02/05/2008","209.67","210.59","212.13","209.41","","-0.43%"
"02/04/2008","210.57","209.32","211.78","209.20","","0.49%"
"02/01/2008","209.54","211.44","212.39","208.76","","-0.92%"
"01/31/2008","211.49","211.24","212.63","209.90","","-0.16%"
"01/30/2008","211.83","213.02","213.80","211.65","","-0.60%"
"01/29/2008","213.10","212.02","213.47","210.83","","0.50%"
"01/28/2008","212.05","211.70","212.75","209.33","","0.21%"
"01/25/2008","211.61","211.74","214.06","211.06","","-0.03%"
"01/24/2008","211.68","208.90","211.68","207.03","","1.42%"
"01/23/2008","208.71","208.73","210.52","204.57","","-0.10%"
"01/22/2008","208.92","205.88","210.03","204.66","","1.43%"
"01/21/2008","205.97","208.90","209.39","205.60","","-1.29%"
"01/18/2008","208.67","210.13","211.57","208.17","","-0.71%"
"01/17/2008","210.17","211.33","212.45","209.37","","-0.40%"
"01/16/2008","211.01","209.51","212.03","206.95","","0.72%"
"01/15/2008","209.50","211.61","212.15","209.44","","-1.02%"
"01/14/2008","211.66","212.72","213.48","210.66","","-0.72%"
"01/11/2008","213.19","214.37","215.17","211.92","","-0.70%"
"01/10/2008","214.69","215.40","216.10","213.50","","-0.14%"
"01/09/2008","215.00","214.82","216.53","213.76","","0.14%"
"01/08/2008","214.70","215.01","217.36","214.41","","-0.15%"
"01/07/2008","215.02","214.06","216.27","214.00","","0.48%"
"01/04/2008","214.00","215.43","216.86","213.42","","-0.64%"
"01/03/2008","215.37","217.09","217.65","213.54","","-0.82%"
"01/02/2008","217.14","221.71","222.79","216.38","","-2.08%"
"01/01/2008","221.75","221.88","222.00","220.75","","0.21%"
"12/31/2007","221.28","224.45","224.97","221.05","","-1.41%"
"12/28/2007","224.44","226.76","227.76","224.15","","-1.08%"
"12/27/2007","226.88","226.72","228.45","226.43","","0.05%"
"12/26/2007","226.77","225.97","226.93","225.36","","0.33%"
"12/25/2007","226.03","225.96","226.43","224.86","","-0.04%"
"12/24/2007","226.12","226.26","226.52","225.62","","-0.12%"
"12/21/2007","226.39","224.24","226.52","224.20","","0.96%"
"12/20/2007","224.23","226.50","226.68","223.52","","-1.04%"
"12/19/2007","226.58","228.29","228.63","225.90","","-0.80%"
"12/18/2007","228.40","228.19","229.10","227.69","","0.05%"
"12/17/2007","228.29","228.61","229.18","227.32","","-0.15%"
"12/14/2007","228.63","228.94","230.08","228.21","","-0.17%"
"12/13/2007","229.03","229.51","229.81","227.38","","-0.30%"
"12/12/2007","229.71","225.06","230.40","224.99","","2.14%"
"12/11/2007","224.90","228.54","229.88","224.72","","-1.59%"
"12/10/2007","228.54","226.27","228.89","226.19","","0.74%"
