"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2021","1.4969","1.5016","1.5041","1.4959","115.57K","-0.22%"
"12/09/2021","1.5002","1.5080","1.5099","1.4978","114.87K","-0.46%"
"12/08/2021","1.5072","1.5063","1.5114","1.5007","127.14K","0.10%"
"12/07/2021","1.5057","1.5050","1.5107","1.5033","143.18K","0.06%"
"12/06/2021","1.5048","1.4988","1.5062","1.4987","116.56K","0.40%"
"12/03/2021","1.4988","1.5091","1.5122","1.4962","124.26K","-0.65%"
"12/02/2021","1.5086","1.5031","1.5127","1.5015","132.18K","0.40%"
"12/01/2021","1.5026","1.5070","1.5174","1.5025","154.90K","-0.24%"
"11/30/2021","1.5062","1.5127","1.5180","1.4997","168.80K","-0.38%"
"11/29/2021","1.5120","1.5101","1.5200","1.5045","124.13K","0.21%"
"11/26/2021","1.5089","1.5484","1.5488","1.5057","172.46K","-2.51%"
"11/25/2021","1.5477","1.5471","1.5499","1.5451","118.63K","0.08%"
"11/24/2021","1.5464","1.5461","1.5496","1.5421","123.07K","0.03%"
"11/23/2021","1.5460","1.5437","1.5468","1.5377","149.55K","0.23%"
"11/22/2021","1.5425","1.5328","1.5450","1.5314","155.38K","0.64%"
"11/19/2021","1.5327","1.5405","1.5427","1.5296","110.34K","-0.50%"
"11/18/2021","1.5404","1.5361","1.5414","1.5323","139.24K","0.30%"
"11/17/2021","1.5358","1.5423","1.5477","1.5329","137.12K","-0.40%"
"11/16/2021","1.5420","1.5338","1.5428","1.5313","116.46K","0.59%"
"11/15/2021","1.5330","1.5321","1.5356","1.5280","88.40K","0.12%"
"11/12/2021","1.5312","1.5350","1.5383","1.5288","97.68K","-0.21%"
"11/11/2021","1.5344","1.5309","1.5359","1.5287","89.81K","0.27%"
"11/10/2021","1.5303","1.5217","1.5347","1.5205","108.79K","0.59%"
"11/09/2021","1.5213","1.5318","1.5326","1.5208","109.51K","-0.65%"
"11/08/2021","1.5313","1.5289","1.5347","1.5270","96.91K","0.21%"
"11/05/2021","1.5281","1.5258","1.5359","1.5241","153.13K","0.15%"
"11/04/2021","1.5258","1.5313","1.5388","1.5234","170.56K","-0.33%"
"11/03/2021","1.5308","1.5256","1.5334","1.5232","168.22K","0.35%"
"11/02/2021","1.5254","1.5232","1.5278","1.5169","172.48K","0.16%"
"11/01/2021","1.5229","1.5209","1.5276","1.5209","137.24K","0.13%"
"10/29/2021","1.5209","1.5187","1.5224","1.5151","173.24K","0.17%"
"10/28/2021","1.5183","1.5163","1.5197","1.5122","181.08K","0.15%"
"10/27/2021","1.5160","1.5232","1.5253","1.5103","164.69K","-0.45%"
"10/26/2021","1.5229","1.5157","1.5257","1.5138","139.13K","0.49%"
"10/25/2021","1.5155","1.5146","1.5181","1.5119","140.04K","0.19%"
"10/22/2021","1.5127","1.5219","1.5274","1.5122","96.52K","-0.58%"
"10/21/2021","1.5215","1.5275","1.5295","1.5183","91.41K","-0.35%"
"10/20/2021","1.5269","1.5225","1.5301","1.5220","92.46K","0.32%"
"10/19/2021","1.5220","1.5201","1.5240","1.5159","83.06K","0.16%"
"10/18/2021","1.5195","1.5221","1.5242","1.5146","93.72K","-0.16%"
"10/15/2021","1.5220","1.5158","1.5266","1.5154","91.90K","0.45%"
"10/14/2021","1.5152","1.5042","1.5163","1.5033","74.19K","0.80%"
"10/13/2021","1.5032","1.5050","1.5107","1.5019","103.46K","-0.09%"
"10/12/2021","1.5045","1.5027","1.5073","1.4961","88.85K","0.15%"
"10/11/2021","1.5022","1.4930","1.5046","1.4927","73.19K","0.60%"
"10/08/2021","1.4933","1.4918","1.4976","1.4878","74.77K","0.15%"
"10/07/2021","1.4910","1.4899","1.4926","1.4869","84.52K","0.10%"
"10/06/2021","1.4895","1.4950","1.4992","1.4842","97.99K","-0.31%"
"10/05/2021","1.4942","1.4866","1.4963","1.4866","103.30K","0.51%"
"10/04/2021","1.4866","1.4974","1.4985","1.4868","78.89K","-0.71%"
"10/01/2021","1.4972","1.5003","1.5033","1.4941","86.54K","-0.19%"
"09/30/2021","1.5001","1.5072","1.5088","1.4998","96.42K","-0.42%"
"09/29/2021","1.5065","1.5026","1.5081","1.4984","83.39K","0.27%"
"09/28/2021","1.5025","1.5038","1.5086","1.4986","99.62K","-0.05%"
"09/27/2021","1.5033","1.4994","1.5057","1.4977","69.13K","0.25%"
"09/24/2021","1.4996","1.4947","1.5010","1.4930","66.55K","0.36%"
"09/23/2021","1.4942","1.4871","1.4952","1.4859","71.21K","0.52%"
"09/22/2021","1.4865","1.4813","1.4886","1.4797","92.00K","0.38%"
"09/21/2021","1.4808","1.4855","1.4904","1.4803","78.81K","-0.29%"
"09/20/2021","1.4851","1.4923","1.4932","1.4842","71.37K","-0.53%"
"09/17/2021","1.4930","1.4920","1.4981","1.4905","66.54K","0.14%"
"09/16/2021","1.4909","1.4892","1.4926","1.4860","86.92K","0.13%"
"09/15/2021","1.4889","1.4892","1.4904","1.4836","76.56K","-0.01%"
"09/14/2021","1.4890","1.4952","1.4972","1.4871","78.06K","-0.39%"
"09/13/2021","1.4949","1.4946","1.4971","1.4914","59.31K","-0.01%"
"09/10/2021","1.4950","1.4919","1.4979","1.4911","79.04K","0.26%"
"09/09/2021","1.4911","1.4937","1.4957","1.4906","74.44K","-0.14%"
"09/08/2021","1.4932","1.5017","1.5035","1.4918","80.43K","-0.55%"
"09/07/2021","1.5014","1.5033","1.5036","1.4966","84.62K","-0.09%"
"09/06/2021","1.5028","1.5034","1.5050","1.5022","54.93K","-0.01%"
"09/03/2021","1.5029","1.5061","1.5072","1.5010","78.28K","-0.17%"
"09/02/2021","1.5054","1.5070","1.5088","1.5038","71.45K","-0.09%"
"09/01/2021","1.5067","1.5082","1.5125","1.5049","85.14K","-0.09%"
"08/31/2021","1.5081","1.4999","1.5090","1.4961","73.82K","0.57%"
"08/30/2021","1.4995","1.4951","1.5007","1.4920","50.08K","0.33%"
"08/27/2021","1.4946","1.4847","1.4979","1.4815","100.91K","0.70%"
"08/26/2021","1.4842","1.4841","1.4870","1.4804","77.84K","0.01%"
"08/25/2021","1.4840","1.4789","1.4844","1.4761","63.16K","0.37%"
"08/24/2021","1.4786","1.4794","1.4823","1.4754","56.47K","-0.04%"
"08/23/2021","1.4792","1.4769","1.4851","1.4757","63.31K","0.17%"
"08/20/2021","1.4767","1.4755","1.4782","1.4720","76.46K","0.12%"
"08/19/2021","1.4749","1.4776","1.4830","1.4705","88.96K","-0.14%"
"08/18/2021","1.4770","1.4734","1.4820","1.4719","75.78K","0.26%"
"08/17/2021","1.4731","1.4726","1.4749","1.4683","81.81K","0.04%"
"08/16/2021","1.4725","1.4777","1.4784","1.4704","89.35K","-0.22%"
"08/13/2021","1.4758","1.4855","1.4873","1.4755","73.99K","-0.64%"
"08/12/2021","1.4853","1.4868","1.4900","1.4847","85.38K","-0.07%"
"08/11/2021","1.4864","1.4855","1.4892","1.4847","76.42K","0.08%"
"08/10/2021","1.4852","1.4806","1.4862","1.4805","89.61K","0.33%"
"08/09/2021","1.4803","1.4852","1.4864","1.4798","60.60K","-0.32%"
"08/06/2021","1.4850","1.4813","1.4876","1.4787","75.91K","0.28%"
"08/05/2021","1.4809","1.4761","1.4818","1.4749","95.17K","0.38%"
"08/04/2021","1.4753","1.4689","1.4786","1.4662","86.73K","0.46%"
"08/03/2021","1.4685","1.4701","1.4721","1.4660","75.88K","-0.07%"
"08/02/2021","1.4696","1.4755","1.4768","1.4684","63.85K","-0.40%"
"07/30/2021","1.4755","1.4744","1.4773","1.4715","65.57K","0.08%"
"07/29/2021","1.4743","1.4753","1.4799","1.4737","96.20K","-0.05%"
"07/28/2021","1.4750","1.4732","1.4816","1.4722","87.74K","0.13%"
"07/27/2021","1.4731","1.4845","1.4855","1.4707","80.58K","-0.74%"
"07/26/2021","1.4841","1.4856","1.4859","1.4785","62.83K","-0.07%"
"07/23/2021","1.4852","1.4795","1.4860","1.4783","62.66K","0.41%"
"07/22/2021","1.4792","1.4810","1.4833","1.4775","73.97K","-0.06%"
"07/21/2021","1.4801","1.4739","1.4816","1.4720","71.49K","0.44%"
"07/20/2021","1.4736","1.4619","1.4743","1.4589","90.05K","0.80%"
"07/19/2021","1.4619","1.4732","1.4757","1.4561","78.41K","-0.87%"
"07/16/2021","1.4747","1.4738","1.4793","1.4720","72.25K","0.09%"
"07/15/2021","1.4734","1.4772","1.4777","1.4720","72.10K","-0.19%"
"07/14/2021","1.4762","1.4830","1.4833","1.4749","66.05K","-0.42%"
"07/13/2021","1.4825","1.4807","1.4849","1.4779","64.35K","0.17%"
"07/12/2021","1.4800","1.4790","1.4809","1.4749","67.36K","0.09%"
"07/09/2021","1.4786","1.4692","1.4800","1.4678","74.97K","0.67%"
"07/08/2021","1.4688","1.4795","1.4802","1.4639","86.16K","-0.68%"
"07/07/2021","1.4789","1.4829","1.4855","1.4773","77.79K","-0.26%"
"07/06/2021","1.4828","1.4931","1.4936","1.4818","93.78K","-0.65%"
"07/05/2021","1.4925","1.4903","1.4941","1.4887","73.33K","0.17%"
"07/02/2021","1.4900","1.4957","1.4978","1.4888","64.20K","-0.36%"
"07/01/2021","1.4954","1.4941","1.4974","1.4922","66.43K","0.10%"
"06/30/2021","1.4939","1.4876","1.4945","1.4831","68.07K","0.46%"
"06/29/2021","1.4870","1.4895","1.4919","1.4861","66.32K","-0.15%"
"06/28/2021","1.4892","1.4921","1.4939","1.4872","53.84K","-0.21%"
"06/25/2021","1.4923","1.4945","1.4964","1.4895","66.67K","-0.12%"
"06/24/2021","1.4941","1.4964","1.4986","1.4919","86.43K","-0.13%"
"06/23/2021","1.4960","1.4884","1.4972","1.4879","59.94K","0.53%"
"06/22/2021","1.4881","1.4880","1.4918","1.4844","68.76K","0.04%"
"06/21/2021","1.4875","1.4877","1.4884","1.4767","78.78K","0.09%"
"06/18/2021","1.4862","1.4854","1.4930","1.4831","81.39K","0.09%"
"06/17/2021","1.4848","1.5108","1.5125","1.4850","83.50K","-1.70%"
"06/16/2021","1.5105","1.5005","1.5111","1.4977","60.54K","0.69%"
"06/15/2021","1.5002","1.5039","1.5053","1.4999","61.04K","-0.24%"
"06/14/2021","1.5038","1.4970","1.5044","1.4957","52.22K","0.46%"
"06/11/2021","1.4969","1.4959","1.5011","1.4957","61.99K","0.09%"
"06/10/2021","1.4956","1.5020","1.5028","1.4957","70.52K","-0.41%"
"06/09/2021","1.5017","1.5009","1.5030","1.4973","66.34K","0.07%"
"06/08/2021","1.5007","1.5006","1.5042","1.4993","71.86K","0.06%"
"06/07/2021","1.4998","1.5029","1.5057","1.4988","62.54K","-0.17%"
"06/04/2021","1.5023","1.5100","1.5115","1.5007","74.77K","-0.49%"
"06/03/2021","1.5097","1.5016","1.5109","1.4988","68.74K","0.57%"
"06/02/2021","1.5012","1.5024","1.5051","1.4958","71.25K","-0.05%"
"06/01/2021","1.5020","1.5110","1.5115","1.5011","81.27K","-0.56%"
"05/31/2021","1.5104","1.5168","1.5184","1.5079","82.40K","-0.45%"
"05/28/2021","1.5173","1.5103","1.5198","1.5099","79.08K","0.50%"
"05/27/2021","1.5098","1.5008","1.5143","1.4981","107.24K","0.61%"
"05/26/2021","1.5006","1.4943","1.5013","1.4932","102.89K","0.44%"
"05/25/2021","1.4940","1.4929","1.4987","1.4913","104.30K","0.09%"
"05/24/2021","1.4926","1.4943","1.4955","1.4908","82.34K","-0.20%"
