"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2015","1.9657","1.9798","1.9975","1.9528","","-0.71%"
"08/04/2015","1.9798","1.9508","1.9850","1.9379","","1.45%"
"08/03/2015","1.9515","2.0076","2.0143","1.9445","","-2.78%"
"07/31/2015","2.0072","2.0740","2.0875","2.0003","","-3.41%"
"07/30/2015","2.0781","2.1156","2.1223","2.0701","","-1.89%"
"07/29/2015","2.1181","2.0625","2.1189","2.0410","","2.66%"
"07/28/2015","2.0632","2.0530","2.0747","2.0268","","0.44%"
"07/27/2015","2.0541","2.1163","2.1177","2.0535","","-3.04%"
"07/24/2015","2.1184","2.1366","2.1454","2.1022","","-1.35%"
"07/23/2015","2.1473","2.1647","2.1854","2.1283","","-1.31%"
"07/22/2015","2.1758","2.1714","2.1798","2.1477","","0.01%"
"07/21/2015","2.1755","2.1779","2.1910","2.1685","","0.18%"
"07/20/2015","2.1715","2.1786","2.1891","2.1560","","-0.34%"
"07/17/2015","2.1790","2.1782","2.1870","2.1659","","-0.06%"
"07/16/2015","2.1803","2.1754","2.1949","2.1622","","0.17%"
"07/15/2015","2.1765","2.1838","2.1936","2.1616","","-0.48%"
"07/14/2015","2.1871","2.1810","2.1923","2.1503","","0.19%"
"07/13/2015","2.1829","2.1666","2.1909","2.1547","","0.19%"
"07/10/2015","2.1788","2.1200","2.1856","2.1158","","2.64%"
"07/09/2015","2.1227","2.0964","2.1489","2.0919","","1.09%"
"07/08/2015","2.0998","2.1586","2.1663","2.0874","","-2.88%"
"07/07/2015","2.1621","2.1542","2.1712","2.1134","","0.32%"
"07/06/2015","2.1553","2.1795","2.1923","2.1482","","-1.83%"
"07/03/2015","2.1955","2.2173","2.2266","2.1767","","-0.96%"
"07/02/2015","2.2168","2.2056","2.2260","2.1981","","0.46%"
"07/01/2015","2.2066","2.2146","2.2259","2.1944","","-0.38%"
"06/30/2015","2.2150","2.1973","2.2263","2.1787","","0.71%"
"06/29/2015","2.1993","2.2385","2.2495","2.1925","","-2.70%"
"06/26/2015","2.2604","2.2577","2.2667","2.2253","","0.06%"
"06/25/2015","2.2590","2.2807","2.2923","2.2473","","-0.99%"
"06/24/2015","2.2817","2.3009","2.3106","2.2619","","-0.92%"
"06/23/2015","2.3030","2.2861","2.3058","2.2637","","0.72%"
"06/22/2015","2.2866","2.2679","2.3040","2.2597","","0.66%"
"06/19/2015","2.2716","2.2984","2.3140","2.2531","","-1.21%"
"06/18/2015","2.2995","2.2995","2.3198","2.2796","","-0.05%"
"06/17/2015","2.3007","2.2934","2.3104","2.2801","","0.84%"
"06/16/2015","2.2815","2.2640","2.3067","2.2367","","0.76%"
"06/15/2015","2.2644","2.2303","2.2709","2.2072","","0.57%"
"06/12/2015","2.2515","2.2513","2.2691","2.2263","","-0.03%"
"06/11/2015","2.2521","2.2570","2.2845","2.2455","","-0.25%"
"06/10/2015","2.2577","2.2331","2.2829","2.2033","","1.08%"
"06/09/2015","2.2336","2.2223","2.2439","2.2063","","0.48%"
"06/08/2015","2.2229","2.2327","2.2506","2.2088","","-0.53%"
"06/05/2015","2.2348","2.1939","2.2465","2.1825","","1.44%"
"06/04/2015","2.2031","2.2876","2.3054","2.1878","","-3.71%"
"06/03/2015","2.2881","2.3453","2.3593","2.2788","","-2.69%"
"06/02/2015","2.3514","2.3254","2.3697","2.3131","","1.04%"
"06/01/2015","2.3271","2.3695","2.3750","2.3161","","-1.82%"
"05/29/2015","2.3703","2.3547","2.3768","2.3257","","0.59%"
"05/28/2015","2.3563","2.3781","2.3944","2.3339","","-1.54%"
"05/27/2015","2.3931","2.4148","2.4265","2.3703","","-1.17%"
"05/26/2015","2.4215","2.4316","2.4481","2.4036","","-0.46%"
"05/25/2015","2.4328","2.4266","2.4492","2.4079","","0.06%"
"05/22/2015","2.4314","2.4204","2.4425","2.4093","","0.41%"
"05/21/2015","2.4215","2.4402","2.4455","2.4005","","-0.82%"
"05/20/2015","2.4415","2.4316","2.4444","2.4060","","0.23%"
"05/19/2015","2.4359","2.4365","2.4504","2.4075","","-0.08%"
"05/18/2015","2.4378","2.4030","2.4478","2.4018","","1.23%"
"05/15/2015","2.4082","2.3805","2.4303","2.3706","","1.10%"
"05/14/2015","2.3821","2.4208","2.4220","2.3338","","-1.64%"
"05/13/2015","2.4219","2.3970","2.4423","2.3635","","0.97%"
"05/12/2015","2.3986","2.3384","2.4024","2.3261","","2.36%"
"05/11/2015","2.3432","2.3266","2.3785","2.3044","","-0.08%"
"05/08/2015","2.3450","2.3887","2.4096","2.3278","","-1.93%"
"05/07/2015","2.3912","2.3626","2.3950","2.3374","","1.08%"
"05/06/2015","2.3657","2.3639","2.4101","2.3343","","-0.18%"
"05/05/2015","2.3699","2.3002","2.3878","2.2940","","2.80%"
"05/04/2015","2.3053","2.3188","2.3388","2.2945","","-0.64%"
"05/01/2015","2.3201","2.3074","2.3308","2.2945","","0.52%"
"04/30/2015","2.3082","2.3345","2.3484","2.2851","","-1.27%"
"04/29/2015","2.3380","2.3033","2.3441","2.2676","","1.44%"
"04/28/2015","2.3047","2.2796","2.3281","2.2605","","0.28%"
"04/27/2015","2.2983","2.3321","2.3604","2.2777","","-1.65%"
"04/24/2015","2.3369","2.3505","2.3843","2.3090","","-0.70%"
"04/23/2015","2.3533","2.2974","2.3664","2.2787","","2.41%"
"04/22/2015","2.2979","2.2264","2.3103","2.2105","","3.32%"
"04/21/2015","2.2241","2.2334","2.2514","2.2049","","-0.47%"
"04/20/2015","2.2347","2.2907","2.3128","2.2087","","-2.47%"
"04/17/2015","2.2912","2.3889","2.4042","2.2494","","-4.11%"
"04/16/2015","2.3895","2.3913","2.4162","2.3624","","-0.23%"
"04/15/2015","2.3950","2.3447","2.4005","2.3387","","2.11%"
"04/14/2015","2.3454","2.3072","2.3569","2.2745","","1.59%"
"04/13/2015","2.3087","2.2271","2.3238","2.2271","","2.94%"
"04/10/2015","2.2428","2.3237","2.3921","2.2347","","-3.54%"
"04/09/2015","2.3250","2.2391","2.3264","2.2335","","3.81%"
"04/08/2015","2.2397","2.1851","2.2462","2.1706","","2.48%"
"04/07/2015","2.1856","2.1576","2.1972","2.1461","","1.25%"
"04/06/2015","2.1586","2.0999","2.1695","2.0896","","2.57%"
"04/03/2015","2.1045","2.1244","2.1394","2.0835","","-1.03%"
"04/02/2015","2.1263","2.0784","2.1323","2.0648","","2.28%"
"04/01/2015","2.0788","2.0630","2.0847","2.0461","","0.73%"
"03/31/2015","2.0638","2.0837","2.1001","2.0545","","-0.97%"
"03/30/2015","2.0841","2.0460","2.0902","2.0224","","1.52%"
"03/27/2015","2.0528","2.0775","2.0974","2.0455","","-1.24%"
"03/26/2015","2.0785","2.0837","2.1199","2.0557","","-0.06%"
